State,State status,City,City status,lat,long
Florida,Visited,Cape Coral ,Visited,26.56285,-81.94953
Florida,Visited,Fort Myers,Airport,26.640629,-81.872307
Florida,Visited,Key West,Visited,24.555059,-81.779984
Florida,Visited,Miami Beach,Visited,25.79065,-80.13005
Florida,Visited,Sarasota,Visited,27.33643,-82.53065
Florida,Visited,Crystal River,Visited,28.9025,-82.5926
Florida,Visited,Tampa,Visited,27.9506,-82.4572
Florida,Visited,St. Armands,Visited,27.3187,-82.5767
Florida,Visited,St. Petersburg,Visited,27.7676,-82.6403
